date,side,entry_time,exit_time,entry,exit,pts,risk_pts,r_mult,pnl,reason
2026-02-12,-1,2026-02-12 13:00:00-05:00,2026-02-12 13:05:00-05:00,6867.5,6879.107142857143,-11.607142857143117,11.357142857143117,-1.0220125786163516,-59.73571428571559,stop
2026-02-12,-1,2026-02-12 15:25:00-05:00,2026-02-12 15:45:00-05:00,6875.25,6854.892857142857,20.357142857143117,8.142857142856883,2.500000000000112,100.08571428571558,target
2026-02-13,-1,2026-02-13 14:45:00-05:00,2026-02-13 15:25:00-05:00,6871.25,6851.160714285715,20.089285714285325,8.035714285714675,2.4999999999998304,98.74642857142662,target
2026-02-17,-1,2026-02-17 12:45:00-05:00,2026-02-17 12:55:00-05:00,6833.75,6844.339285714285,-10.589285714285325,10.339285714285325,-1.0241796200345432,-54.646428571426625,stop
2026-02-17,1,2026-02-17 13:40:00-05:00,2026-02-17 15:30:00-05:00,6868.0,6855.232142857143,-12.767857142856883,12.517857142856883,-1.0199714693295296,-65.53928571428442,stop
2026-02-18,-1,2026-02-18 13:40:00-05:00,2026-02-18 13:50:00-05:00,6910.0,6897.901785714285,12.098214285714675,4.8392857142853245,2.500000000000282,58.791071428573375,target
2026-02-18,1,2026-02-18 15:55:00-05:00,2026-02-18 15:55:00-05:00,6904.25,6896.446428571428,-7.8035714285715585,7.5535714285715585,-1.0330969267139474,-40.717857142857795,stop
2026-02-20,-1,2026-02-20 12:15:00-05:00,2026-02-20 12:50:00-05:00,6891.25,6901.625,-10.375,10.125,-1.0246913580246915,-53.575,stop
2026-02-23,-1,2026-02-23 12:40:00-05:00,2026-02-23 12:40:00-05:00,6835.0,6841.392857142857,-6.392857142856883,6.142857142856883,-1.0406976744186063,-33.66428571428442,stop
2026-02-23,1,2026-02-23 13:25:00-05:00,2026-02-23 13:40:00-05:00,6867.25,6860.553571428572,-6.6964285714284415,6.4464285714284415,-1.0387811634349038,-35.18214285714221,stop
2026-02-24,1,2026-02-24 12:10:00-05:00,2026-02-24 15:55:00-05:00,6900.0,6902.75,2.75,6.517857142856883,0.4219178082191949,12.05,time
2026-02-25,1,2026-02-25 14:10:00-05:00,2026-02-25 15:30:00-05:00,6958.5,6956.142857142857,-2.357142857143117,2.107142857143117,-1.1186440677965956,-13.485714285715584,stop
2026-02-25,1,2026-02-25 15:55:00-05:00,2026-02-25 15:55:00-05:00,6963.75,6960.732142857143,-3.017857142856883,2.767857142856883,-1.0903225806451697,-16.789285714284414,stop
2026-02-26,1,2026-02-26 13:40:00-05:00,2026-02-26 14:45:00-05:00,6902.5,6922.366071428572,19.86607142857156,7.9464285714284415,2.5000000000000573,97.63035714285779,target
2026-02-27,1,2026-02-27 15:15:00-05:00,2026-02-27 15:35:00-05:00,6877.75,6871.017857142857,-6.732142857143117,6.482142857143117,-1.038567493112946,-35.36071428571559,stop
2026-03-02,1,2026-03-02 11:45:00-05:00,2026-03-02 13:45:00-05:00,6889.25,6877.464285714285,-11.785714285714675,11.535714285714675,-1.0216718266253864,-60.62857142857338,stop
2026-03-03,1,2026-03-03 13:25:00-05:00,2026-03-03 15:55:00-05:00,6823.75,6825.75,2.0,12.107142857143117,0.1651917404129758,8.3,time
2026-03-04,1,2026-03-04 13:50:00-05:00,2026-03-04 13:55:00-05:00,6890.75,6884.910714285715,-5.8392857142853245,5.5892857142853245,-1.0447284345047954,-30.896428571426622,stop
