date,ticker,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl
2022-04-08,SPY,1,2022-04-07,2022-04-08,448.78,447.96000000000004,-0.8199999999999363,-40.99999999999682,-83.99999999999363
2022-04-11,DIA,1,2022-04-08,2022-04-11,347.38,345.35,-2.0299999999999727,-101.49999999999864,-204.99999999999727
2022-04-11,SPY,1,2022-04-08,2022-04-11,447.58,444.1,-3.4799999999999613,-173.99999999999807,-349.99999999999613
2022-04-20,DIA,1,2022-04-19,2022-04-20,349.13,351.02,1.8899999999999864,94.49999999999932,186.99999999999864
2022-04-21,DIA,1,2022-04-20,2022-04-21,351.53999999999996,353.79,2.250000000000057,112.50000000000284,223.00000000000568
2022-04-22,DIA,1,2022-04-21,2022-04-22,347.71999999999997,346.33,-1.3899999999999864,-69.49999999999932,-140.99999999999864
2022-08-01,DIA,1,2022-07-29,2022-08-01,328.67,326.90000000000003,-1.7699999999999818,-88.49999999999909,-178.99999999999818
2022-08-01,SPY,1,2022-07-29,2022-08-01,412.0,409.14,-2.8600000000000136,-143.00000000000068,-288.00000000000136
2022-08-02,DIA,1,2022-08-01,2022-08-02,328.05,327.0,-1.0500000000000114,-52.50000000000057,-107.00000000000114
2022-08-02,SPY,1,2022-08-01,2022-08-02,410.78,409.11,-1.669999999999959,-83.49999999999795,-168.9999999999959
2022-08-03,SPY,1,2022-08-02,2022-08-03,408.07,410.33,2.259999999999991,112.99999999999955,223.9999999999991
2022-08-04,DIA,1,2022-08-03,2022-08-04,328.17,327.67,-0.5,-25.0,-52.0
2022-08-04,SPY,1,2022-08-03,2022-08-04,414.46,414.29,-0.16999999999995907,-8.499999999997954,-18.999999999995907
2022-08-05,DIA,1,2022-08-04,2022-08-05,327.37,325.07,-2.3000000000000114,-115.00000000000057,-232.00000000000114
2022-08-05,SPY,1,2022-08-04,2022-08-05,414.18,409.69,-4.490000000000009,-224.50000000000045,-451.0000000000009
2022-08-08,DIA,1,2022-08-05,2022-08-08,327.98,329.78000000000003,1.8000000000000114,90.00000000000057,178.00000000000114
2022-08-08,SPY,1,2022-08-05,2022-08-08,413.48,415.24,1.759999999999991,87.99999999999955,173.9999999999991
2022-08-09,DIA,1,2022-08-08,2022-08-09,328.43,328.27,-0.160000000000025,-8.00000000000125,-18.0000000000025
2022-08-09,SPY,1,2022-08-08,2022-08-09,413.0,412.21000000000004,-0.7899999999999636,-39.49999999999818,-80.99999999999636
2022-08-10,DIA,1,2022-08-09,2022-08-10,327.92,332.59000000000003,4.670000000000016,233.5000000000008,465.0000000000016
2022-08-10,SPY,1,2022-08-09,2022-08-10,411.36,418.78000000000003,7.420000000000016,371.0000000000008,740.0000000000016
2022-08-11,DIA,1,2022-08-10,2022-08-11,333.21,335.81,2.6000000000000227,130.00000000000114,258.0000000000023
2022-08-11,SPY,1,2022-08-10,2022-08-11,420.0,422.98,2.980000000000018,149.0000000000009,296.0000000000018
2022-08-12,DIA,1,2022-08-11,2022-08-12,333.71999999999997,334.75,1.0300000000000296,51.50000000000148,101.00000000000296
2022-08-12,SPY,1,2022-08-11,2022-08-12,420.0,422.02,2.019999999999982,100.99999999999909,199.99999999999818
2022-08-15,DIA,1,2022-08-12,2022-08-15,337.84,336.1,-1.7399999999999523,-86.99999999999761,-175.99999999999523
2022-08-15,SPY,1,2022-08-12,2022-08-15,427.11,424.76,-2.3500000000000227,-117.50000000000114,-237.00000000000227
2022-08-16,DIA,1,2022-08-15,2022-08-16,339.38,338.77,-0.6100000000000136,-30.500000000000682,-63.000000000001364
2022-08-16,SPY,1,2022-08-15,2022-08-16,428.87,427.72,-1.1499999999999773,-57.49999999999886,-116.99999999999773
2022-08-17,DIA,1,2022-08-16,2022-08-17,341.75,339.68,-2.069999999999993,-103.49999999999966,-208.99999999999932
2022-08-17,SPY,1,2022-08-16,2022-08-17,429.71,425.94,-3.769999999999982,-188.4999999999991,-378.9999999999982
2022-08-18,DIA,1,2022-08-17,2022-08-18,340.21,340.19,-0.01999999999998181,-0.9999999999990905,-3.999999999998181
2022-08-18,SPY,1,2022-08-17,2022-08-18,426.65999999999997,426.85,0.19000000000005457,9.500000000002728,17.000000000005457
2022-08-19,DIA,1,2022-08-18,2022-08-19,340.59,338.33,-2.259999999999991,-112.99999999999955,-227.9999999999991
2022-08-19,IWM,1,2022-08-18,2022-08-19,198.92999999999998,196.86,-2.0699999999999648,-103.49999999999824,-208.99999999999648
2022-08-22,DIA,1,2022-08-19,2022-08-22,337.05,333.1,-3.9499999999999886,-197.49999999999943,-396.99999999999886
2022-08-22,IWM,1,2022-08-19,2022-08-22,194.66,191.98000000000002,-2.6799999999999784,-133.99999999999892,-269.99999999999784
2022-08-23,DIA,1,2022-08-22,2022-08-23,330.77,330.27,-0.5,-25.0,-52.0
2022-08-23,IWM,1,2022-08-22,2022-08-23,190.64999999999998,190.92000000000002,0.27000000000003865,13.500000000001933,25.000000000003865
2022-08-24,DIA,1,2022-08-23,2022-08-24,329.12,328.92,-0.19999999999998863,-9.999999999999432,-21.999999999998863
2022-08-24,IWM,1,2022-08-23,2022-08-24,190.95999999999998,190.79000000000002,-0.16999999999995907,-8.499999999997954,-18.999999999995907
2022-08-25,DIA,1,2022-08-24,2022-08-25,329.87,330.08,0.20999999999997954,10.499999999998977,18.999999999997954
2022-08-25,IWM,1,2022-08-24,2022-08-25,192.42,193.37,0.950000000000017,47.50000000000085,93.0000000000017
2022-08-26,DIA,1,2022-08-25,2022-08-26,333.15999999999997,333.47,0.3100000000000591,15.500000000002956,29.00000000000591
2022-08-26,SPY,1,2022-08-25,2022-08-26,419.52,419.38,-0.13999999999998636,-6.999999999999318,-15.999999999998636
2022-08-29,DIA,1,2022-08-26,2022-08-29,322.94,320.47,-2.4699999999999704,-123.49999999999852,-248.99999999999704
2022-08-29,IWM,1,2022-08-26,2022-08-29,188.98999999999998,186.94,-2.049999999999983,-102.49999999999915,-206.9999999999983
2022-08-30,IWM,1,2022-08-29,2022-08-30,187.25,187.81,0.5600000000000023,28.000000000000114,54.00000000000023
2022-08-30,DIA,1,2022-08-29,2022-08-30,321.11,322.01,0.8999999999999773,44.99999999999886,87.99999999999773
2022-08-31,IWM,1,2022-08-30,2022-08-31,184.63,184.93,0.30000000000001137,15.000000000000568,28.000000000001137
2022-08-31,DIA,1,2022-08-30,2022-08-31,318.05,318.52,0.46999999999997044,23.499999999998522,44.999999999997044
2022-09-01,IWM,1,2022-08-31,2022-09-01,183.51,181.77,-1.7399999999999807,-86.99999999999903,-175.99999999999807
2022-09-01,DIA,1,2022-08-31,2022-09-01,315.65999999999997,314.28000000000003,-1.3799999999999386,-68.99999999999693,-139.99999999999386
2022-09-02,IWM,1,2022-09-01,2022-09-02,181.51,183.59,2.0800000000000125,104.00000000000063,206.00000000000125
2022-09-02,DIA,1,2022-09-01,2022-09-02,317.07,319.76,2.6899999999999977,134.4999999999999,266.9999999999998
2022-09-06,IWM,1,2022-09-02,2022-09-06,180.1,180.70000000000002,0.6000000000000227,30.000000000001137,58.000000000002274
2022-09-08,IWM,1,2022-09-07,2022-09-08,182.2,180.66,-1.539999999999992,-76.9999999999996,-155.9999999999992
2022-09-09,IWM,1,2022-09-08,2022-09-09,183.72,185.32000000000002,1.6000000000000227,80.00000000000114,158.00000000000227
2022-09-12,IWM,1,2022-09-09,2022-09-12,187.41,188.64000000000001,1.2300000000000182,61.50000000000091,121.00000000000182
2022-09-12,DIA,1,2022-09-09,2022-09-12,322.28999999999996,323.33,1.0400000000000205,52.00000000000102,102.00000000000205
2022-09-13,IWM,1,2022-09-12,2022-09-13,189.67999999999998,184.84,-4.839999999999975,-241.99999999999875,-485.9999999999975
2022-09-13,DIA,1,2022-09-12,2022-09-13,324.58,318.79,-5.789999999999964,-289.4999999999982,-580.9999999999964
2022-09-14,IWM,1,2022-09-13,2022-09-14,182.26,182.58,0.3200000000000216,16.00000000000108,30.00000000000216
2022-10-31,DIA,1,2022-10-28,2022-10-31,328.59,326.91,-1.67999999999995,-83.9999999999975,-169.999999999995
2022-11-01,DIA,1,2022-10-31,2022-11-01,327.43,329.37,1.9399999999999977,96.99999999999989,191.99999999999977
2022-11-02,DIA,1,2022-11-01,2022-11-02,326.42,325.45,-0.9700000000000273,-48.500000000001364,-99.00000000000273
2022-11-02,IWM,1,2022-11-01,2022-11-02,183.59,182.83,-0.7599999999999909,-37.999999999999545,-77.99999999999909
2022-11-03,DIA,1,2022-11-02,2022-11-03,321.37,319.33,-2.0400000000000205,-102.00000000000102,-206.00000000000205
2022-11-04,DIA,1,2022-11-03,2022-11-04,319.88,323.6,3.7200000000000273,186.00000000000136,370.00000000000273
2022-11-07,DIA,1,2022-11-04,2022-11-07,324.15,325.13,0.9800000000000182,49.00000000000091,96.00000000000182
2022-11-08,DIA,1,2022-11-07,2022-11-08,328.43,329.46000000000004,1.0300000000000296,51.50000000000148,101.00000000000296
2022-11-09,DIA,1,2022-11-08,2022-11-09,331.71999999999997,329.7,-2.019999999999982,-100.99999999999909,-203.99999999999818
2022-11-10,DIA,1,2022-11-09,2022-11-10,325.34999999999997,334.21000000000004,8.86000000000007,443.0000000000035,884.000000000007
2022-11-11,DIA,1,2022-11-10,2022-11-11,337.27,338.16,0.8900000000000432,44.50000000000216,87.00000000000432
2022-11-11,IWM,1,2022-11-10,2022-11-11,185.39,185.75,0.36000000000001364,18.000000000000682,34.000000000001364
2022-11-14,DIA,1,2022-11-11,2022-11-14,337.8,336.73,-1.0699999999999932,-53.49999999999966,-108.99999999999932
2022-11-14,IWM,1,2022-11-11,2022-11-14,186.91,185.78,-1.1299999999999955,-56.49999999999977,-114.99999999999955
2022-11-15,DIA,1,2022-11-14,2022-11-15,335.78,338.5,2.7200000000000273,136.00000000000136,270.00000000000273
2022-11-15,IWM,1,2022-11-14,2022-11-15,184.82,187.84,3.0200000000000102,151.0000000000005,300.000000000001
2022-11-16,DIA,1,2022-11-15,2022-11-16,336.21999999999997,335.59000000000003,-0.6299999999999386,-31.49999999999693,-64.99999999999386
